ACCION|5.4.6|Cine en c&aacute;mara|3000
ACCION|5.4.7|Capacitaciones CECE|5000
ACCION|5.4.8|Bases de datos|5000
ACCION|5.4.9|Publicidad|5000
PROYECTO|5.5|FERIAS Y EXPOSICIONES|
ACCION|5.5.1|Posicionamiento de marca|6000
ACCION|5.5.2|Eventos a terceros|6000
ACCION|5.5.3|Funcionamiento Expofuturo|6000
ACCION|5.5.4|Eventos propios|6000
ACCION|5.5.5|Servicios complementarios|6000
ACCION|5.5.6|Parqueadero Expofuturo|6000
PROYECTO|5.6|SERVICIOS DE ARBITRAJE Y CONCILIACI&Oacute;N|
ACCION|5.6.1|Asesor&iacute;a en MASC|2000
ACCION|5.6.2|Posicionamiento del CAC|2000
ACCION|5.6.3|Servicios de arbitraje y conciliaci&oacute;n|2000
ACCION|5.6.4|Capacitaciones en MASC|2000
ACCION|5.6.5|Jornadas gratuitas|2000
ACCION|5.6.6|Conciliaci&oacute;n escolar|2000
ACCION|5.6.7|Gobierno corporativo de los MASC|2000
PROYECTO|5.7|ACTUALIDAD JUR&Iacute;DICA|
ACCION|5.7.1|Costumbre mercantil|1000
ACCION|5.7.2|Asesor&iacute;a jur&iacute;dica|1000
PROYECTO|5.8|PROGRAMAS CIVICOS Y SOCIALES|
ACCION|5.8.1|Pereira como vamos|7000
ACCION|5.8.2|Aportes - Risaralda Etica - Comit&eacute; Intergremial|7000
